Post_id,Price,Bedroom,Bathroom,Sqft,Latitude,Longitude,Description,Latlng,Postal_code
 6438618306,4800.0,2.0,2.0,1100.0,43.665484,-79.387484,"
        
Immaculately Furnished On Sub-Ph Floor, 2Bdr + Parking Suite With Top Of The Line Finishes In Most Sought After Downtown Condo! Suite Features Unobstructed Panoramic Views! 

Includes: Fridge,Stove,Dishwasher,Washer and Dryer, All Elf's, Window Coverings, His/Hers Closets In Master, Mirrored Closets In Foyer!

POSSESSION: IMMEDIATE

All Appliances and Ensuite Laundry included. One parking included in rent.

STEPS AWAY FROM SUBWAY, TTC, HOSPITALS, SHOPPING, ENTERTAINMENT, UNIVERSITIES, EATON CENTRE

GREAT BUILDING AMENITIES:- 
Concierge
Large Gym
Indoor Swimming Pool
Party / Meeting / Board Rooms
Squash Court
Basketball Court
Visitor Parking
Bbq Areas
3 Outdoor Terraces
Saunas
Whirlpool
Recreation Centre

City centre Live and Work lifestyle, next to all local amenities, Park, Entertainment, Restaurants and Shopping!

We Specialize in CONDO Sale, Purchase, Assignment, Lease and Property Management.

Whether you are looking for 1, 1+1, 2, 2+1 or 3 Bed Condo, we have an excellent selection of units on SALE and LEASE in Down Town Toronto and can get you the best deal!

We do not charge commission to Buyers or Tenants.

Our offices are located at Downtown Toronto and we can arrange a viewing at short notice.

Call us in full confidence for a professional service today!

Contact : Narayan
T.O. Condos Realty Inc.
Cell:  

    ","43.665484,-79.387484",M5S 3C4
 6438603634,,,,,43.666505,-79.316442,"
        
Please Include:
First and Last Name 
your contact number
Email 
- when sending your email so I can quickly call you to get started.

Enjoy luxury amenities, beach living, the Toronto skyline and lake views from many of the suites, 9' ceilings, retail on the ground floor to make shopping a bit easy along with all the restaurants, shops, groceries and more all in walking distance.  Along with easy access to the major highways and the Queen streetcar right outside your doorstep.

Pricing start from the low $300's.

An amazing Boutique is a new pre-construction condo development located at Queen Street East & Coxwell Avenue, Toronto. It will be 6 storeys with a total of 89 condo units. Estimated completion date is To Be Announced (TBA).

Amenities include: fitness centre, party room, pet wash station, rooftop terrace with bbq, sun loungers, fire pit and seating area.

Up to 9' smooth finish ceilings (floors 2+3 have 8'6"" smooth finish ceilings)

Features:
- Steps to 501 Queen Towards Neville Park streetcar.
- Minutes from Michael Garron Hospital.
- Close to shops, restaurants and schools. Many amenities, shops and restaurants along Queen Street East.
- Minutes from Woodbine Beach.
- Visitor Parking 
- Many nearby schools
- Nearby parks include Woodbine Park, Orchard Park & Ashbridges Bay Park.



Meshesha Robel, Real Estate Broker 
Cell phone:  
 
THE BEHAR GROUP REALTY INC.
Email:  

I am a Licensed Real Estate Broker working with THE BEHAR GROUP REALTY INC.    ","43.666505,-79.316442",M4L
 6438603132,2095.0,1.0,1.0,600.0,43.646068,-79.385476,"
        
Boutique 2 Condo - Lower Penthouse, In The Heart Of Financial & Entertainment District. Open Concept With Floor To Ceiling Windows. On 31st Floor with Great Views! Walking Distance To The Subway Shopping, Restaurants, Hospitals And So Much More. Access To Boutique 1 Roof Top Amenities.

Includes: Fridge, Stove, B/I Dishwasher, B/I Microwave, Washer & Dryer, All Elf's & Window Coverings. Furnished Suite. Utilities: Heat, Water and CAC included in Rent. 

Ready to Move In Immediately!

Contact : Narayan
T.O. Condos Realty Inc.
Cell:  
    ","43.646068,-79.385476",M5J 1J1
 6438599285,1.0,,,,43.639966,-79.380838,"
        
ManageCondo is a full service property management company dedicated to helping short-term rental hosts maximize their rental opportunities. Maybe you are out of town, busy at the office, or unable to meet guests, manageCondo is here to meet, greet and get your guests settled in to your place. We are a team of experienced short-term rental hosts who understand the art of hospitality. 

From key exchange to full service management, We will be there for you every step of the way. ManageCondo is committed to revolutionize the hospitality industry. Managecondo is where expectations mean standardization. 

Every ManageCondo comes with a equipped kitchen, high speed wi-fi, complimentary toiletries, and all the necessary amenities you would need.

Contact Us To Learn More.    ","43.639966,-79.380838",M5J 2Y5
 6438600943,,,,,43.778374,-79.309871,"
        
Please Include:
First and Last Name 
your contact number
Email 
- when sending your email so I can quickly call you to get started. 

A new pre-construction condo development located at Sheppard Avenue East & Pharmacy Avenue, Toronto. It will stand at 18 storeys with a total of 234 condo units. Estimated completion date is October 30, 2020.

Features:
- TTC options like 85 Sheppard East, 167A Pharmacy North & 190 Rocket are minutes away.
- Minutes away Highway 401 & Highway 404.
- CF Fairview Mall is minutes away.
- North York General Hospital is minutes away.
- Nearby parks.

Meshesha Robel, Real Estate Broker 
Cell phone:  
 
THE BEHAR GROUP REALTY INC.
Email:  

I am a Licensed Real Estate Broker working with THE BEHAR GROUP REALTY INC.    ","43.778374,-79.309871",M1T 3K3
 6436249142,2195.0,1.0,1.0,550.0,43.734388,-79.404568,"
        
One Bedroom Condo for Rent In Aura Residence Yonge And Gerrard - 5 minute walk to RYERSON University 

Stunning Building Completed in 2015 with underground link to Collee Park Subway and Shops at AURA 

Amazing South View of Lake on 51st Floor of Canada's in tallest condo building.

Comes with 40,000 sq ft - Crunch Fitness Center (included) 

Rooftop terrace.

Large Built in Appliances 

Large washroom with deep soaker bathtub/shower 

New Paint

Comes with 1 locker

Please reply with cell number and availability for viewing when replying.

Credit Check, Application and one year lease 


    ","43.734388,-79.404568",M4N
 6438588875,2100.0,1.0,1.0,,43.637259,-79.402624,"
        
One bedroom plus den apartment with one bathroom in 38 Grand Magazine Street (Toronto) available for $2100 rent. Includes 1 parking and 1 locker. Very clean and bright unit. Private large sized balcony. Renovated with new flooring in the living room and newly painted walls and doors. Open concept design with modern kitchen. Granite countertop and breakfast bar. Building facilities include Outdoor Pool, BBQ, Fitness Centre, Billiards Room, and 24 hours concierge. Walk to  Waterfront. Steps to TTC, Tim Hortons & Subway restaurant, Rogers Centre, Air Canada Centre, Financial & Entertainment Area. Close to CN Tower, Island Airport & Liberty Village. Located very conveniently with a transit and bike score of 100, walk score of 90.
No smoking. No pets. Tenant will be required to pay for Hydro.    ","43.637259,-79.402624",M5V 0E8
 6438586808,50.0,,,,43.7223,-79.4504,"
        
This is a much better alternative to hotel
This $50 Daily Guest Lodging is Available IMMEDIATELY on a Temporary Basis
This is a Vacation Home. It is a Temporary Accommodation and not a permanent home
This is an awesome Condo
Furnished Room in a shared Awesome Condo
The Room has a Comfortable Queen Mattress Bed that can conveniently sleep two people.
Room has its own Cable TV and Wireless Wi-Fi Internet. 
Building Has Best in Class Amenities
Extra-large Living Room and Spacious Dining
Hardwood Floors in the Entire Suite, except Bedroom
Spacious Corridor Terrace with Awesome View for your Relaxation
Utilities - Water, Gas, Electricity, and Internet are all Inclusive
5 Minutes Walk to Lawrence West Subway Station
Within 1km of Yorkdale Mall (15 Minutes Walk to Yorkdale Mall)
Blocks away from Lawrence Square Mall and Yorkdale Mall
2 Minute by Train to Yorkdale Subway Station and Yorkdale Mall 
2 Minute by Train to Eglinton West Subway Station
3 Minutes by Train to Downsview Subway Station
1 Minute Drive to Allen, which leads to 401
7 Minutes by Train to Brown College
TTC Bus Stop is just in front of the Condo Building (on the spot)
The Condo Features A Concierge, Gym, Steam Room, Hot Tub, Outdoor Swimming Pool And Party Room.
Complete Kitchen Appliances with Fridge, stove and dishwasher 
Tucked Away Washer/Dryer for Laundry
This listing is governed by the Innkeepers Act
24 Hour Security and Concierge
Very Safe Neighbourhood!

ABOUT YOU
CLEAN, Quiet, Responsible, and TIDY 
Sorry, No Smokers, No Pets. 

MINIMUM OF 7 DAYS REQUIRED for the daily rate of $50. 
If there are two persons, extra $15 daily is required for the second person.
Check in is from 2:00 pm, but can be flexible. Check out is 10:00 am.

The rate is as follows for one person only: 

	7 Days and above = $50 / Day 
	4 to 6 Days = $55 / Day
	2 to 3 Days = $60 / Day
	Monthly = $1,350
	
This rate is firm and non-negotiable. There is additional $60 for cleaning. 
SERIOUS INQUIRIES ONLY: by Email or phone  
.
Phone: Six Four Seven - 893 - Eight Four Two Five.
    ","43.7223,-79.4504",M6A 2R2
 6438583911,2150.0,1.0,0.0,,43.682736,-79.315504,"
        
New Condos 1 Bedr, 50 Lynn Williams St, starting: ImmediateLease Term: 1 YearDen: 1 , Furnished: N , Parking space: 1,  Pets Permitted: N, Sqft: 500-599Spacious 1 Bdrm + Den In Trendy Liberty Village. Den Is A Separate Room And Could Be Used As An Office Or Nursery. Parking And Locker Included. Available Immediately! Functional Layout With Clear West Breathtaking View Of Lake And Lv. Great Building Amenities: Indoor Pool, Gym, Concierge, Hot Tub, Sauna, Guest Suites, Visitor Parking, Party Room. Close To Restaurants, Cafes, Ttc, Metro, 5 Major Banks, Goodlife Fitness, Entertainment On King W And Much More! - C4010294For more information please call Karen:  
x007,17:58:38New Condos 1 Bedr, 50 Lynn Williams St, starting: Immediate
    ","43.682736,-79.315504",M4C 3V9
 6438571643,80.0,,,,43.7223,-79.4504,"
        
This is a Much Better Alternative to Hotel
$80 per Day for Executive Master Bedroom in a Shared Condo
This Daily Guest Lodging is Available IMMEDIATELY on a Temporary Basis
This is a Vacation Home. It is a Temporary Accommodation and not a permanent home.
The Master Bedroom has its own Spacious Private Bathroom
The Master Bedroom has a Comfortable Designer's Queen Sized Mattress.
The Master Bedroom has its own Cable TV and Wireless Wi-Fi Internet.
The Master Bedroom has its own Fridge.
The Master Bedroom has its own Desk and Chair
1 Extra-large Living Room and Spacious Dining
Bedroom: 14 F X 10 F (i.e., 168 Inches X 120 Inches)
Living Room: 20 F X 11 F (i.e., 242 Inches X 132 Inches)
Dining: 10 F X 7 F (i.e., 130 Inches X 84 Inches)
Hardwood Floors in the Entire Suite, except bedroom
Building has best in class amenities
Spacious Terrace with Awesome View
7 Minutes Walk to Lawrence West Subway Station
Within 1km of Yorkdale Mall (15 Minutes Walk to Yorkdale Mall)
Blocks away from Lawrence Square Mall and Yorkdale Mall
1 Minute by Train to Yorkdale Subway Station and Yorkdale Mall 
1 Minute by Train to Eglinton West Subway Station
3 Minutes by Train to Downsview Subway Station
1 Minute Drive to Allen, which leads to 401
7 Minutes by Train to Brown College
The Condo Is Centrally Located to the Lawrence West Subway Station, Allen Rd and 401.
TTC Bus Stop is just in front of the Condo Building (on the spot)
The Condo Features A Concierge, Gym, Steam Room, Hot Tub, Outdoor Swimming Pool And Party Room. Other features are Lounge and BBQ Area, His and Hers Change Rooms, Connecting Towers have Interior Swimming Pool 
Complete Kitchen Appliances with Fridge, stove and dishwasher 
Tucked away washer/dryer for laundry 
Floor-to-ceiling windows
This listing is governed by the Innkeepers Act
Quiet and Professional Neighbourhood and Building
Amazing Place! Must See!
Very Safe Neighbourhood!
24 Hour Security and Concierge

ABOUT YOU
CLEAN, Quiet, Responsible, and TIDY 
Sorry, No Smokers, No Pets. 

MINIMUM OF 7 DAYS REQUIRED for the daily rate of $80. 
If two people, extra $15 daily required for the second person.
Check in is from 2:00 pm, but can be flexible. Check out is 10:00 am.

The rate is as follows for one person only: 

	7 Days and above = $80 / Day 
	4 to 6 Days = $85 / Day
	2 to 3 Days = $90 / Day
	1 Day = $110
	Monthly = $2,250
	
Rate is firm and non negotiable. There is additional $80 for cleaning.
SERIOUS INQUIRIES ONLY: by Email or phone  
.
Phone: Six Four Seven - 893 - Eight Four Two Five
    ","43.7223,-79.4504",M6A 2R2
